Ramp,State,City,421567074,953909074,62540304,688836922,820128694,408684502,251818422,413903421,851891769,348187915,119136139,514476321,744501278,817917736,232825911,167939568,849353290,245882384,763779289,526352299,570926008,180406926,742866590,681615007,820881654,800035901,851421907,297868432,335573611,106239001,350616613,801976443,366161778,375227698,343088003,859130188,789973685,336893604,Recommended BUY,Round 1 Sell,Round 2 Sell,Round 3 Sell,office,Cheapest to 2nd Cheapest
USBAL,VA,STUARTS DRAFT,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,989,,,,989," $1,139.00 "," $1,114.00 "," $1,089.00 ",EWR,216
USBAL,NY,WANTAGH,,,,,,,,,,,,,,,,,,,,,,,,,1355,,,,,,,,,,1139,,,,1355," $1,505.00 "," $1,480.00 "," $1,455.00 ",EWR,216
USBAL,VA,WEST POINT,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,989,,,,989," $1,139.00 "," $1,114.00 "," $1,089.00 ",EWR,216
USHOU,TX,BLANCO,,,,,,,,,,,,,,,,,,,,,,,,,763,,,,,,,,,,979,,,,979," $1,154.00 "," $1,104.00 "," $1,079.00 ",HOU,216
USHOU,TX,BULVERDE,,,,,,,,,,,,,,,,,,,,,,,,,763,,,,,,,,,,979,,,,979," $1,154.00 "," $1,104.00 "," $1,079.00 ",HOU,216
USHOU,LA,LOREAUVILLE,,,,,,,,,,,,,,,,,,,,,,,,,763,,,,,,,,,,979,,,,979," $1,104.00 "," $1,079.00 "," $1,029.00 ",MIA,216
USLUI,KY,BRYANTS STORE,,,,,,1030,1075,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,216
USLUI,KY,DEWITT,,,,,,1030,1075,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,216
USLUI,IN,HILLISBURG,,,,,,970,1015,,,,,,,,754,,,,,,,,,,,,,,,,,,,,,,,,970," $1,120.00 "," $1,070.00 "," $1,020.00 ",ORD,216
USLUI,IN,MOUNT SUMMIT,,,,,,970,1015,,,,,,,,754,,,,,,,,,,,,,,,,,,,,,,,,970," $1,120.00 "," $1,070.00 "," $1,020.00 ",ORD,216
USMIA,FL,CAPE CORAL,,,,,,805,800,,,,,,,,,,,,990,,,,,655,875,,,,439,,,,,,,,,,655, $780.00 , $755.00 , $705.00 ,MIA,216
USMKC,KS,GREAT BEND,,,,,,1229,1280,,,,,,,,1009,,,,,,,,,,1289,,,,1225,,,,,,,,,,1225," $1,375.00 "," $1,325.00 "," $1,275.00 ",ORD,216
USMKC,OK,KELLYVILLE,,,,,,1293,1325,,,,,,,,1077,,,,,,,,,,1352,,,,,,,,,,,,,,1293," $1,468.00 "," $1,418.00 "," $1,393.00 ",HOU,216
USNYC,VA,BRANDY STATION,,,,,,,,,,,,,,,,,,,,,,,,,1725,,,,,,,,,,1509,,,,1725," $1,875.00 "," $1,850.00 "," $1,825.00 ",EWR,216
USNYC,CT,CENTRAL VILLAGE,,,,,,,,,,,,,,,,,,,,,,,,,923,,,,,,,,,,1139,,,,1139," $1,289.00 "," $1,264.00 "," $1,239.00 ",EWR,216
USNYC,NY,CLEVERDALE,,,,,,,,,,,,,,,,,,,,,,,,,983,,,,,,,,,,1199,,,,1199," $1,349.00 "," $1,324.00 "," $1,299.00 ",EWR,216
USNYC,NJ,DELMONT,,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,779,,,,779, $929.00 , $904.00 , $879.00 ,EWR,216
USNYC,CT,EASTFORD,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,,,,,,,1129,,,,1129," $1,279.00 "," $1,254.00 "," $1,229.00 ",EWR,216
USNYC,NY,ERIN,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,1229,,,,1229," $1,379.00 "," $1,354.00 "," $1,329.00 ",EWR,216
USNYC,ME,FAIRFIELD,,,,,,,1720,,,,,,,,1936,,,,,,,,,,2025,,,,,,,,,,,,,,1936," $2,086.00 "," $2,061.00 "," $2,036.00 ",EWR,216
